matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare,CSRCV_NUM_PACKET_VALS,unbalance_time,unbalance_size,row_bits_avg,col_bits_avg,row_col_bytes_avg,compression_spmv_loops,tolerance
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000390,38.119990,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,256.004146,0.484497,4.04839e-14,1.01696e-13,2.34236e-27,4.65635e-12,2.32817e-12,1.57895e-14,-13.4394,3.63568e-14,1048576,46.36,4.12,8.0000,24.0000,4.0000,109.6815,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001954,38.429109,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,256.004146,0.484497,4.04839e-14,1.01696e-13,2.34236e-27,4.65635e-12,2.32817e-12,1.57895e-14,-13.4394,3.63568e-14,2097152,45.37,4.12,8.0000,24.0000,4.0000,121.8688,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001296,38.362171,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,256.004146,0.484497,4.04839e-14,1.01696e-13,2.34236e-27,4.65635e-12,2.32817e-12,1.57895e-14,-13.4394,3.63568e-14,4194304,45.26,4.12,8.0000,24.0000,4.0000,149.9286,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001454,40.200138,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,256.004146,0.484497,4.04839e-14,1.01696e-13,2.34236e-27,4.65635e-12,2.32817e-12,1.57895e-14,-13.4394,3.63568e-14,8388608,43.27,4.12,8.0000,24.0000,4.0000,220.1755,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.002559,35.274527,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,256.004146,0.484497,4.04839e-14,1.01696e-13,2.34236e-27,4.65635e-12,2.32817e-12,1.57895e-14,-13.4394,3.63568e-14,16777216,58.84,4.12,8.0000,24.0000,4.0000,319.3898,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.001789,39.937894,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,469.547703,0.875957,1.7332e-10,5.96046e-08,6.73463e-19,1.31068e-11,6.55341e-12,-1.49104e-15,-14.4643,3.43323e-15,64,7.41,2.73,2.2021,20.3925,2.8243,48.4472,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000341,47.715782,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,446.912699,0.833730,1.69746e-10,5.21541e-08,6.04849e-19,1.36711e-11,6.83555e-12,-3.0788e-15,-14.1494,7.08922e-15,128,13.44,2.74,3.1936,19.9485,2.8928,47.0476,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.001661,46.631129,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,428.080455,0.798598,1.71127e-10,7.07805e-08,5.97665e-19,1.28569e-11,6.42846e-12,3.29094e-15,-14.1205,7.57771e-15,256,5.58,2.92,3.9083,19.5778,2.9358,41.8828,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000025,47.544799,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,411.608654,0.767870,1.75745e-10,4.84288e-08,6.18684e-19,1.15611e-11,5.78053e-12,-7.68315e-16,-14.7522,1.76909e-15,512,11.71,3.11,4.5673,19.1449,2.9640,41.3577,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000645,54.768146,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,410.232194,0.765302,1.81274e-10,7.45058e-08,6.61448e-19,1.19202e-11,5.96008e-12,-7.07839e-15,-13.7878,1.62986e-14,1024,10.01,5.57,6.0618,19.8458,3.2384,47.9780,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000858,54.849474,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,417.942611,0.779686,1.87096e-10,7.45058e-08,7.18131e-19,1.22854e-11,6.14268e-12,-8.77177e-15,-13.6947,2.01978e-14,2048,17.78,6.72,7.3684,21.5619,3.6163,52.3555,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000069,59.172479,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,425.358061,0.793519,1.91712e-10,5.96046e-08,7.44687e-19,1.3213e-11,6.60652e-12,-1.13077e-15,-14.5844,2.60371e-15,4096,8.83,4.39,7.9623,23.4084,3.9213,60.0193,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000268,60.276995,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,422.663835,0.788493,1.93226e-10,5.58794e-08,7.49748e-19,1.37669e-11,6.88346e-12,6.56311e-15,-13.8207,1.51122e-14,8192,7.20,4.11,7.9998,23.7698,3.9712,65.3860,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000817,59.500164,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,420.005610,0.783534,1.93125e-10,5.58794e-08,7.37054e-19,1.53425e-11,7.67127e-12,-9.25633e-15,-13.6713,2.13135e-14,16384,8.58,3.96,7.9934,23.8006,3.9742,68.1348,0
