matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,matrix_mae,matrix_max_ae,matrix_mse,matrix_mape,matrix_smape
/users/panastas/Data/graphs/tamu/matrices/ML_Geer/ML_Geer.mtx,64,1504002,1504002,110879972,1.023895,27.722846,1274.657894,0.000000,0.000000,MKL_IE,1504002,1504002,110879972,1274.657894,1.000000,4.95532e-10,6.82544e-09,5.24913e-19,2.69649e-05,1.35316e-05,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/Flan_1565/Flan_1565.mtx,64,1564794,1564794,117406044,1.098960,27.349450,1349.574764,0.000000,0.000000,MKL_IE,1564794,1564794,117406044,1349.574764,1.000000,2.27625e-10,1.34458e-08,1.62377e-19,3.14691e+06,1.13427,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/Cube_Coup_dt0/Cube_Coup_dt0.mtx,64,2164760,2164760,127206144,1.212257,26.862918,1464.016697,0.000000,0.000000,MKL_IE,2164760,2164760,127206144,1464.016697,1.000000,3.39145e-06,0.000137329,5.74555e-11,1.9543e+06,0.14428,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/Cube_Coup_dt6/Cube_Coup_dt6.mtx,64,2164760,2164760,127206144,1.206838,26.983540,1464.016697,0.000000,0.000000,MKL_IE,2164760,2164760,127206144,1464.016697,1.000000,3.39145e-06,0.000137329,5.74555e-11,1.9543e+06,0.14428,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/Bump_2911/Bump_2911.mtx,64,2911419,2911419,127729899,1.232626,26.527805,1472.858875,0.000000,0.000000,MKL_IE,2911419,2911419,127729899,1472.858875,1.000000,0.000962991,32,0.00142732,inf,0.00213438,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/vas_stokes_4M/vas_stokes_4M.mtx,64,4382246,4382246,131577616,1.341960,25.100498,1522.503262,0.000000,0.000000,MKL_IE,4382246,4382246,131577616,1522.503262,1.000000,9.04685e-17,7.55751e-15,2.79797e-32,inf,0.000663816,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/nlpkkt160/nlpkkt160.mtx,64,8345600,8345600,229518112,2.441092,24.069821,2658.462284,0.000000,0.000000,MKL_IE,8345600,8345600,229518112,2658.462284,1.000000,3.84632e-15,2.13163e-14,4.39231e-29,6.4508e-14,3.2254e-14,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/HV15R/HV15R.mtx,64,2017169,2017169,283073458,2.624636,27.610233,3247.213531,0.000000,0.000000,MKL_IE,2017169,2017169,283073458,3247.213531,1.000000,3.3478e-14,5.82077e-11,4.97834e-26,3.98487e-11,1.99244e-11,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/Queen_4147/Queen_4147.mtx,64,4147110,4147110,329499284,3.108825,27.133025,3786.640026,0.000000,0.000000,MKL_IE,4147110,4147110,329499284,3786.640026,1.000000,0.00101721,13.4931,0.00133438,inf,0.016407,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/stokes/stokes.mtx,64,11449533,11449533,349321980,3.737515,23.926710,4041.349312,0.000000,0.000000,MKL_IE,11449533,11449533,349321980,4041.349312,1.000000,9.58131e-17,1.1503e-14,4.12961e-32,inf,0.00302288,0.0,0.0,0.0,0.0,0.0
/users/panastas/Data/graphs/tamu/matrices/nlpkkt200/nlpkkt200.mtx,64,16240000,16240000,448225632,4.804887,23.881054,5191.485966,0.000000,0.000000,MKL_IE,16240000,16240000,448225632,5191.485966,1.000000,3.83662e-15,2.84217e-14,4.32334e-29,6.4826e-14,3.2413e-14,0.0,0.0,0.0,0.0,0.0
