format_name	System	gflops
DIV_RF	AMD-EPYC-64	63.2293
DIV_RF_12	AMD-EPYC-64	68.6187
DIV_RF_3	AMD-EPYC-64	90.5942
DIV_RF_6	AMD-EPYC-64	76.5658
DIV_RF_7	AMD-EPYC-64	77.7849
DIV_RF_9	AMD-EPYC-64	74.0703
MKL(32-bits)	AMD-EPYC-64	55.9906
MKL(64-bits)	AMD-EPYC-64	30.5721
