format_name	System	speedup
DIV_RF	INTEL-XEON-16	1.70214
LCM	INTEL-XEON-16	0.541261
MKL(32-bits)	INTEL-XEON-16	1.86697
MKL(64-bits)	INTEL-XEON-16	1
SparseX	INTEL-XEON-16	0.86581
