format_name	System	speedup
DIV	INTEL-XEON-16	1.31234
DIV_RF	INTEL-XEON-16	1.45437
Dictionary(CSR\&RV)	INTEL-XEON-16	0.469528
Dictionary(Custom)	INTEL-XEON-16	0.472418
LCM	INTEL-XEON-16	0.97034
MKL(32-bits)	INTEL-XEON-16	1.58645
MKL(64-bits)	INTEL-XEON-16	1
SparseX	INTEL-XEON-16	1.1038
