format_name	System	gflops
DIV_RF	INTEL-XEON-16	22.0866
LCM	INTEL-XEON-16	7.02329
MKL(32-bits)	INTEL-XEON-16	24.2254
MKL(64-bits)	INTEL-XEON-16	12.9758
SparseX	INTEL-XEON-16	11.2346
