format_name	System	speedup
DIV_RF	AMD-EPYC-64	1.12928
DIV_RF_12	AMD-EPYC-64	1.22554
DIV_RF_3	AMD-EPYC-64	1.61803
DIV_RF_6	AMD-EPYC-64	1.36748
DIV_RF_7	AMD-EPYC-64	1.38925
DIV_RF_9	AMD-EPYC-64	1.32291
MKL(32-bits)	AMD-EPYC-64	1
MKL(64-bits)	AMD-EPYC-64	0.546022
