format_name	System	gflops
DIV	INTEL-XEON-16	14.3002
DIV_RF	INTEL-XEON-16	15.8478
Dictionary(CSR\&RV)	INTEL-XEON-16	5.11631
Dictionary(Custom)	INTEL-XEON-16	5.1478
LCM	INTEL-XEON-16	10.5735
MKL(32-bits)	INTEL-XEON-16	17.2871
MKL(64-bits)	INTEL-XEON-16	10.8967
SparseX	INTEL-XEON-16	12.0278
