matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare,CSRCV_NUM_PACKET_VALS,time_io_frac_avg,time_decompress_frac_avg,time_execute_frac_avg
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,3.130808,3.775077,528.391174,0.000000,0.000000,CSR_CV_BLOCK_FPC,10203,321696,46168124,287.457577,0.544024,1.12238e-14,2.34257e-14,1.74845e-28,1.2815e-12,6.40749e-13,-4.70929e-15,-13.9648,1.08435e-14,2097152,0.2159,0.5020,0.2821
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,3.132753,3.772733,528.391174,0.000000,0.000000,CSR_CV_BLOCK_FPC,10203,321696,46168124,287.436663,0.543985,1.12343e-14,2.34257e-14,1.75034e-28,1.28269e-12,6.41347e-13,-4.71722e-15,-13.9641,1.08618e-14,4194304,0.2424,0.4926,0.2651
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,3.139965,3.764068,528.391174,0.000000,0.000000,CSR_CV_BLOCK_FPC,10203,321696,46168124,287.436663,0.543985,1.12343e-14,2.34257e-14,1.75034e-28,1.28269e-12,6.41347e-13,-4.71722e-15,-13.9641,1.08618e-14,8388608,0.2431,0.4925,0.2643
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,3.151129,3.750732,528.391174,0.000000,0.000000,CSR_CV_BLOCK_FPC,10203,321696,46168124,287.436663,0.543985,1.12343e-14,2.34257e-14,1.75034e-28,1.28269e-12,6.41347e-13,-4.71722e-15,-13.9641,1.08618e-14,16777216,0.2516,0.4901,0.2583
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,2.881085,4.133774,536.039845,0.000000,0.000000,CSR_CV_BLOCK_FPC,952203,952203,46522475,516.329177,0.963229,1.00793e-10,2.98023e-08,2.51588e-19,8.44282e-12,4.22141e-12,1.73265e-15,-14.3991,3.98954e-15,64,0.2916,0.5968,0.1116
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,2.498108,4.767509,536.039845,0.000000,0.000000,CSR_CV_BLOCK_FPC,952203,952203,46522475,513.893473,0.958685,1.02369e-10,4.47035e-08,2.53292e-19,8.4919e-12,4.24595e-12,7.69845e-17,-15.7514,1.77267e-16,128,0.3165,0.5871,0.0965
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,2.355563,5.056011,536.039845,0.000000,0.000000,CSR_CV_BLOCK_FPC,952203,952203,46522475,512.546377,0.956172,1.03662e-10,4.47035e-08,2.59e-19,8.21693e-12,4.10847e-12,-1.92929e-16,-15.3524,4.44252e-16,256,0.3300,0.5823,0.0877
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,2.299372,5.179568,536.039845,0.000000,0.000000,CSR_CV_BLOCK_FPC,952203,952203,46522475,512.000806,0.955154,1.04365e-10,4.47035e-08,2.61886e-19,8.21746e-12,4.10873e-12,-1.99352e-18,-17.3365,4.60786e-18,512,0.3364,0.5802,0.0835
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,2.235944,5.326500,536.039845,0.000000,0.000000,CSR_CV_BLOCK_FPC,952203,952203,46522475,512.246396,0.955613,1.04613e-10,4.47035e-08,2.62111e-19,8.2449e-12,4.12245e-12,7.79298e-17,-15.7461,1.79435e-16,1024,0.3410,0.5788,0.0802
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,2.200536,5.412207,536.039845,0.000000,0.000000,CSR_CV_BLOCK_FPC,952203,952203,46522475,513.179157,0.957353,1.04716e-10,4.47035e-08,2.63093e-19,8.22072e-12,4.11036e-12,-1.05474e-16,-15.6146,2.42861e-16,2048,0.3407,0.5794,0.0800
