matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare,CSRCV_NUM_PACKET_VALS,time_io_frac_avg,time_decompress_frac_avg,time_execute_frac_avg
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.446377,4.831241,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.391541,1.000001,1.11818e-14,2.34257e-14,1.73868e-28,1.27712e-12,6.38558e-13,-4.68017e-15,-13.9675,1.07765e-14,524288,0.4528,0.2496,0.2975
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.664810,4.435228,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.391357,1.000000,1.12193e-14,2.34257e-14,1.74757e-28,1.28098e-12,6.40488e-13,-4.70482e-15,-13.9652,1.08332e-14,1048576,0.4763,0.2647,0.2590
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.677248,4.414623,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.391296,1.000000,1.12238e-14,2.34257e-14,1.74845e-28,1.2815e-12,6.40749e-13,-4.70929e-15,-13.9648,1.08435e-14,2097152,0.5148,0.2539,0.2313
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.601174,4.543732,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.391235,1.000000,1.12343e-14,2.34257e-14,1.75034e-28,1.28269e-12,6.41347e-13,-4.71722e-15,-13.9641,1.08618e-14,4194304,0.5533,0.2562,0.1905
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.611313,4.526091,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.391235,1.000000,1.12343e-14,2.34257e-14,1.75034e-28,1.28269e-12,6.41347e-13,-4.71722e-15,-13.9641,1.08618e-14,8388608,0.5494,0.2578,0.1928
/home/users/dgal/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,16,10203,321696,46168124,2.604632,4.537701,528.391174,0.000000,0.000000,CSR_CV_BLOCK_ID,10203,321696,46168124,528.391235,1.000000,1.12343e-14,2.34257e-14,1.75034e-28,1.28269e-12,6.41347e-13,-4.71722e-15,-13.9641,1.08618e-14,16777216,0.5465,0.2614,0.1922
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.108479,10.744234,536.039845,0.000000,0.000000,CSR_CV_BLOCK_ID,952203,952203,46522475,538.812832,1.005173,1.00793e-10,2.98023e-08,2.51588e-19,8.44282e-12,4.22141e-12,1.73265e-15,-14.3991,3.98954e-15,64,0.6720,0.0786,0.2494
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.107810,10.750715,536.039845,0.000000,0.000000,CSR_CV_BLOCK_ID,952203,952203,46522475,537.426357,1.002587,1.02369e-10,4.47035e-08,2.53292e-19,8.4919e-12,4.24595e-12,7.69845e-17,-15.7514,1.77267e-16,128,0.7342,0.0542,0.2116
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.092445,10.901921,536.039845,0.000000,0.000000,CSR_CV_BLOCK_ID,952203,952203,46522475,536.733120,1.001293,1.03662e-10,4.47035e-08,2.59e-19,8.21693e-12,4.10847e-12,-1.92929e-16,-15.3524,4.44252e-16,256,0.7648,0.0392,0.1960
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.083543,10.991494,536.039845,0.000000,0.000000,CSR_CV_BLOCK_ID,952203,952203,46522475,536.386501,1.000647,1.04365e-10,4.47035e-08,2.61886e-19,8.21746e-12,4.10873e-12,-1.99352e-18,-17.3365,4.60786e-18,512,0.7745,0.0327,0.1928
