matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,CSRCV_NUM_PACKET_VALS,unbalance_time,unbalance_size,row_bits_avg,col_bits_avg,row_col_bytes_avg,compression_spmv_loops,tolerance
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.171012,10.170483,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,471.827866,0.880210,64,1.89,1.93,2.2022,20.3930,2.8244,30.2423,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.129375,10.545433,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,448.151124,0.836041,128,1.54,1.87,3.1940,19.9486,2.8928,32.9378,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.151711,10.340920,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,428.790468,0.799923,256,2.79,1.81,3.9101,19.5764,2.9358,33.9441,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.086610,10.960463,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,412.015557,0.768629,512,3.13,1.67,4.5666,19.1435,2.9638,37.7626,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.010425,11.786873,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,410.422018,0.765656,1024,1.89,4.87,6.0592,19.8388,3.2373,43.2795,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.002953,11.967455,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,418.049709,0.779886,2048,3.45,3.37,7.3659,21.5574,3.6154,46.0750,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.000537,12.461332,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,425.471764,0.793732,4096,3.09,2.37,7.9653,23.4220,3.9234,50.9786,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.002869,11.875687,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,422.677817,0.788519,8192,8.21,2.28,8.0000,23.7718,3.9715,52.9583,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.003692,12.422156,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,16384,6.02,2.12,7.9984,23.8198,3.9773,56.7537,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.002389,12.438312,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,32768,5.03,2.12,7.9984,23.8198,3.9773,56.8815,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.007221,12.193877,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,65536,7.35,2.12,7.9984,23.8198,3.9773,55.9982,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.005169,12.126214,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,131072,8.24,2.12,7.9984,23.8198,3.9773,55.7261,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.001498,12.449375,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,262144,4.78,2.12,7.9984,23.8198,3.9773,57.9247,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.002330,12.253379,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,524288,6.65,2.12,7.9984,23.8198,3.9773,57.6179,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.002864,12.154077,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,1048576,8.18,2.12,7.9984,23.8198,3.9773,60.0050,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.001862,12.259103,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,2097152,5.90,2.12,7.9984,23.8198,3.9773,64.0880,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.004072,12.232125,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,4194304,7.34,2.12,7.9984,23.8198,3.9773,76.7389,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.006115,12.299767,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,8388608,6.83,2.12,7.9984,23.8198,3.9773,85.2830,0
/home/users/dgal/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,16,952203,952203,46522475,1.004393,12.228213,536.039845,0.000000,0.000000,CSR_CVS,952203,952203,46522475,420.071992,0.783658,16777216,7.04,2.12,7.9984,23.8198,3.9773,104.2292,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.321546,9.402600,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,524.160107,0.936168,64,5.84,0.37,1.4544,22.5411,2.9994,27.8061,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.309945,9.485870,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,500.524158,0.893953,128,4.53,0.73,2.3373,21.6627,3.0000,29.6256,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.277207,9.729017,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,481.008640,0.859098,256,2.53,1.30,3.1929,20.8073,3.0000,32.4133,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.216626,10.213467,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,466.053919,0.832388,512,2.50,1.69,4.2235,20.1924,3.0520,36.0932,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.174421,10.580505,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,477.205597,0.852306,1024,3.24,6.15,6.7785,22.0094,3.5985,39.4829,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.117762,11.116833,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,483.600966,0.863728,2048,2.71,4.03,7.8977,23.7274,3.9531,43.9118,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.078895,11.517314,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,478.282581,0.854229,4096,4.46,4.06,7.9995,23.9985,3.9997,48.2703,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.067506,11.640188,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,471.759544,0.842579,8192,6.03,4.45,7.9987,24.0000,3.9998,53.4075,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.036398,11.989570,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,469.230003,0.838061,16384,2.47,3.93,7.9987,23.9996,3.9998,57.1850,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.042882,11.915029,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,469.229708,0.838060,32768,4.16,3.93,7.9987,23.9996,3.9998,56.9470,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.040424,11.943177,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,469.229708,0.838060,65536,4.52,3.93,7.9987,23.9996,3.9998,57.1261,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.042503,11.919359,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,469.229708,0.838060,131072,4.34,3.93,7.9987,23.9996,3.9998,57.1352,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.047393,11.863719,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,469.229708,0.838060,262144,4.27,3.93,7.9987,23.9996,3.9998,57.2079,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.051481,11.817588,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,469.229708,0.838060,524288,5.61,3.93,7.9987,23.9996,3.9998,57.6427,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.047336,11.864359,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,469.229708,0.838060,1048576,4.33,3.93,7.9987,23.9996,3.9998,60.2465,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.048636,11.849653,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,469.229708,0.838060,2097152,4.53,3.93,7.9987,23.9996,3.9998,63.7868,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.063385,11.685298,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,469.229708,0.838060,4194304,6.40,3.93,7.9987,23.9996,3.9998,67.7797,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.054976,11.778445,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,469.229708,0.838060,8388608,5.23,3.93,7.9987,23.9996,3.9998,75.4441,0
/home/users/dgal/Data/graphs/tamu/matrices/dielFilterV2real/dielFilterV2real.mtx,16,1157456,1157456,48538952,1.039647,11.952105,559.899570,0.000000,0.000000,CSR_CVS,1157456,1157456,48538952,469.229708,0.838060,16777216,3.84,3.93,7.9987,23.9996,3.9998,94.3283,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.914258,7.051539,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,452.398242,0.742885,64,13.15,16.52,1.6901,22.3093,2.9999,18.5114,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.754355,7.694260,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,425.323417,0.698426,128,12.46,17.80,2.5194,21.4806,3.0000,21.4898,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.640816,8.226674,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,415.250221,0.681884,256,10.04,23.69,4.0050,21.1310,3.1420,24.2572,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.706203,7.911402,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,431.028240,0.707794,512,14.09,20.13,6.7818,22.7592,3.6926,24.8655,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.718651,7.854102,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,438.321205,0.719769,1024,17.63,16.30,7.9988,23.9764,3.9969,26.0661,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.710417,7.891913,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,432.982596,0.711003,2048,19.87,16.20,7.9975,23.9755,3.9966,27.8216,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.712333,7.883082,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,428.846341,0.704211,4096,21.13,16.05,8.0000,23.9733,3.9967,29.6838,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.708392,7.901264,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,425.056802,0.697988,8192,20.19,15.85,7.9994,23.9475,3.9934,32.1844,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.713125,7.879439,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,424.449044,0.696990,16384,20.75,15.95,8.0000,23.9397,3.9925,32.4755,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.697318,7.952820,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,424.449044,0.696990,32768,20.13,15.95,8.0000,23.9397,3.9925,32.8480,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.690978,7.982637,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,424.449044,0.696990,65536,19.96,15.95,8.0000,23.9397,3.9925,32.9528,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.700991,7.935646,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,424.449044,0.696990,131072,21.09,15.95,8.0000,23.9397,3.9925,32.8987,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.702992,7.926323,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,424.449044,0.696990,262144,20.35,15.95,8.0000,23.9397,3.9925,33.2434,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.724041,7.829547,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,424.449044,0.696990,524288,21.58,15.95,8.0000,23.9397,3.9925,33.5622,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.711065,7.888921,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,424.449044,0.696990,1048576,20.51,15.95,8.0000,23.9397,3.9925,35.7395,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.697265,7.953065,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,424.449044,0.696990,2097152,20.19,15.95,8.0000,23.9397,3.9925,38.8818,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.698065,7.949319,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,424.449044,0.696990,4194304,20.80,15.95,8.0000,23.9397,3.9925,41.5120,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.704368,7.919921,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,424.449044,0.696990,8388608,20.77,15.95,8.0000,23.9397,3.9925,44.9363,0
/home/users/dgal/Data/graphs/tamu/matrices/nv2/nv2.mtx,16,1453908,1453908,52728362,1.700175,7.939451,608.974438,0.000000,0.000000,CSR_CVS,1453908,1453908,52728362,424.449044,0.696990,16777216,20.24,15.95,8.0000,23.9397,3.9925,55.7254,0
/home/users/dgal/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,16,1508065,1508065,52672325,1.224765,11.009553,608.539738,0.000000,0.000000,CSR_CVS,1508065,1508065,52672325,497.590424,0.817679,64,1.24,0.50,1.8013,14.1987,2.0000,32.5808,0
/home/users/dgal/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,16,1508065,1508065,52672325,1.189642,11.334595,608.539738,0.000000,0.000000,CSR_CVS,1508065,1508065,52672325,462.270293,0.759639,128,1.76,0.76,2.6308,13.3690,2.0000,35.7855,0
/home/users/dgal/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,16,1508065,1508065,52672325,1.219765,11.054679,608.539738,0.000000,0.000000,CSR_CVS,1508065,1508065,52672325,436.865969,0.717892,256,2.28,1.18,4.4486,13.8662,2.2894,37.0817,0
/home/users/dgal/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,16,1508065,1508065,52672325,1.145383,11.772583,608.539738,0.000000,0.000000,CSR_CVS,1508065,1508065,52672325,441.029842,0.724735,512,2.00,1.35,7.9990,15.9985,2.9997,42.6630,0
/home/users/dgal/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,16,1508065,1508065,52672325,1.040105,12.964192,608.539738,0.000000,0.000000,CSR_CVS,1508065,1508065,52672325,422.845859,0.694853,1024,1.68,1.41,8.0000,16.0000,3.0000,49.2551,0
/home/users/dgal/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,16,1508065,1508065,52672325,1.004400,13.634805,608.539738,0.000000,0.000000,CSR_CVS,1508065,1508065,52672325,412.034498,0.677087,2048,2.35,1.40,8.0000,16.0000,3.0000,54.4718,0
/home/users/dgal/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,16,1508065,1508065,52672325,1.002677,14.393679,608.539738,0.000000,0.000000,CSR_CVS,1508065,1508065,52672325,405.142841,0.665762,4096,3.79,1.51,8.0000,16.0000,3.0000,60.5262,0
/home/users/dgal/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,16,1508065,1508065,52672325,1.004727,14.993409,608.539738,0.000000,0.000000,CSR_CVS,1508065,1508065,52672325,400.015808,0.657337,8192,2.13,1.68,8.0000,16.0000,3.0000,69.2981,0
/home/users/dgal/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,16,1508065,1508065,52672325,1.006651,14.860099,608.539738,0.000000,0.000000,CSR_CVS,1508065,1508065,52672325,399.556719,0.656583,16384,2.51,1.72,8.0000,16.0000,3.0000,69.1687,0
/home/users/dgal/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,16,1508065,1508065,52672325,1.003637,14.904738,608.539738,0.000000,0.000000,CSR_CVS,1508065,1508065,52672325,399.556719,0.656583,32768,2.53,1.72,8.0000,16.0000,3.0000,69.4101,0
/home/users/dgal/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,16,1508065,1508065,52672325,1.002545,14.710810,608.539738,0.000000,0.000000,CSR_CVS,1508065,1508065,52672325,399.556719,0.656583,65536,4.04,1.72,8.0000,16.0000,3.0000,68.7167,0
/home/users/dgal/Data/graphs/tamu/matrices/af_shell10/af_shell10.mtx,16,1508065,1508065,52672325,1.006692,14.964151,608.539738,0.000000,0.000000,CSR_CVS,1508065,1508065,52672325,399.556719,0.656583,131072,2.23,1.72,8.0000,16.0000,3.0000,70.0073,0
