matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare,CSRCV_NUM_PACKET_VALS,matrix_mae,matrix_max_ae,matrix_mse,matrix_mape,matrix_smape,matrix_lnQ_error,matrix_mlare,matrix_gmare,unbalance_time,unbalance_size,row_bits_avg,col_bits_avg,row_col_bytes_avg,compression_spmv_loops,tolerance
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000334,29.722333,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,226.089999,0.427884,5.31476e-14,1.01141e-13,3.93006e-27,6.06911e-12,3.03456e-12,2.21174e-14,-13.293,5.09273e-14,524288,0,0,0,0,0,0,-inf,0,11.80,5.78,7.9062,23.7188,3.9531,70.0160,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000998,28.872445,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,220.209704,0.416755,5.31604e-14,9.58122e-14,3.93164e-27,6.07054e-12,3.03527e-12,2.21227e-14,-13.2929,5.09394e-14,1048576,0,0,0,0,0,0,-inf,0,13.99,5.81,8.0000,24.0000,4.0000,81.7901,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001840,28.848157,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,220.209704,0.416755,5.31604e-14,9.58122e-14,3.93164e-27,6.07054e-12,3.03527e-12,2.21227e-14,-13.2929,5.09394e-14,2097152,0,0,0,0,0,0,-inf,0,14.12,5.81,8.0000,24.0000,4.0000,84.9415,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.002769,28.821436,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,220.209704,0.416755,5.31604e-14,9.58122e-14,3.93164e-27,6.07054e-12,3.03527e-12,2.21227e-14,-13.2929,5.09394e-14,4194304,0,0,0,0,0,0,-inf,0,14.12,5.81,8.0000,24.0000,4.0000,96.6163,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.002025,28.934990,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,220.209704,0.416755,5.31604e-14,9.58122e-14,3.93164e-27,6.07054e-12,3.03527e-12,2.21227e-14,-13.2929,5.09394e-14,8388608,0,0,0,0,0,0,-inf,0,14.68,5.81,8.0000,24.0000,4.0000,116.8384,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001530,28.857094,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,220.209704,0.416755,5.31604e-14,9.58122e-14,3.93164e-27,6.07054e-12,3.03527e-12,2.21227e-14,-13.2929,5.09394e-14,16777216,0,0,0,0,0,0,-inf,0,14.17,5.81,8.0000,24.0000,4.0000,161.6635,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000379,17.392818,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,471.991223,0.880515,1.64559e-10,5.96046e-08,6.49777e-19,1.11686e-11,5.5843e-12,-6.07491e-16,-14.8542,1.39878e-15,64,0,0,0,0,0,0,-inf,0,4.58,2.89,2.2021,20.3925,2.8243,24.1309,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.004697,18.892430,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,448.036013,0.835826,1.55814e-10,6.70552e-08,5.89017e-19,1.12421e-11,5.62105e-12,-6.31055e-16,-14.8377,1.45305e-15,128,0,0,0,0,0,0,-inf,0,3.70,2.96,3.1936,19.9485,2.8928,21.4230,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.001487,19.138805,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,426.872245,0.796344,1.47885e-10,5.96046e-08,5.16563e-19,1.0335e-11,5.1675e-12,3.84201e-15,-14.0532,8.84655e-15,256,0,0,0,0,0,0,-inf,0,4.38,3.24,3.9083,19.5778,2.9358,19.6965,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.003820,20.670055,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,408.558809,0.762180,1.46801e-10,7.45058e-08,5.45405e-19,9.65106e-12,4.82553e-12,-2.30178e-15,-14.2757,5.30001e-15,512,0,0,0,0,0,0,-inf,0,5.00,3.50,4.5673,19.1449,2.9640,20.7280,0
