matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,CSRCV_NUM_PACKET_VALS,unbalance_time,unbalance_size,row_bits_avg,col_bits_avg,row_col_bytes_avg,compression_spmv_loops,tolerance,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare,matrix_mae,matrix_max_ae,matrix_mse,matrix_mape,matrix_smape,matrix_lnQ_error,matrix_mlare,matrix_gmare
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001925,32.992870,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,226.096547,0.427896,524288,16.72,5.78,7.9062,23.7188,3.9531,75.6214,0,5.31461e-14,1.00586e-13,3.92993e-27,6.06894e-12,3.03447e-12,2.21174e-14,-13.2931,5.09271e-14,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000441,31.841973,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,220.214713,0.416765,1048576,15.54,5.81,8.0000,24.0000,4.0000,92.5829,0,5.31609e-14,9.58122e-14,3.93178e-27,6.07059e-12,3.03529e-12,2.21234e-14,-13.2929,5.09409e-14,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.000494,31.840265,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,220.214713,0.416765,2097152,15.62,5.81,8.0000,24.0000,4.0000,102.0673,0,5.31609e-14,9.58122e-14,3.93178e-27,6.07059e-12,3.03529e-12,2.21234e-14,-13.2929,5.09409e-14,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001908,31.887516,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,220.214713,0.416765,4194304,15.41,5.81,8.0000,24.0000,4.0000,127.0647,0,5.31609e-14,9.58122e-14,3.93178e-27,6.07059e-12,3.03529e-12,2.21234e-14,-13.2929,5.09409e-14,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.002580,31.866120,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,220.214713,0.416765,8388608,15.26,5.81,8.0000,24.0000,4.0000,174.7815,0,5.31609e-14,9.58122e-14,3.93178e-27,6.07059e-12,3.03529e-12,2.21234e-14,-13.2929,5.09409e-14,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.002758,31.768397,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,220.214713,0.416765,16777216,15.37,5.81,8.0000,24.0000,4.0000,278.3072,0,5.31609e-14,9.58122e-14,3.93178e-27,6.07059e-12,3.03529e-12,2.21234e-14,-13.2929,5.09409e-14,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.001844,34.456131,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,479.481019,0.894488,64,6.63,2.85,2.2021,20.3925,2.8243,48.6876,0,1.75616e-10,5.96046e-08,7.18584e-19,1.13135e-11,5.65677e-12,2.17194e-16,-15.3009,5.00142e-16,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000204,42.419856,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,452.061470,0.843336,128,5.29,2.93,3.1936,19.9485,2.8928,47.3864,0,1.7129e-10,6.70552e-08,6.65549e-19,1.16176e-11,5.80881e-12,9.24179e-16,-14.672,2.12796e-15,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.001790,40.216491,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,429.203998,0.800694,256,6.18,3.22,3.9083,19.5778,2.9358,41.0708,0,1.68438e-10,7.45058e-08,6.11595e-19,1.17327e-11,5.86634e-12,4.61119e-16,-14.974,1.06176e-15,0,0,0,0,0,0,-inf,0
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.000103,43.447523,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,409.814160,0.764522,512,7.65,3.49,4.5673,19.1449,2.9640,42.7752,0,1.66223e-10,7.45058e-08,6.42057e-19,1.09982e-11,5.4991e-12,-3.47051e-15,-14.0974,7.99117e-15,0,0,0,0,0,0,-inf,0
