matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,CSRCV_NUM_PACKET_VALS,unbalance_time,unbalance_size,row_bits_avg,col_bits_avg,row_col_bytes_avg,compression_spmv_loops,tolerance,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare,matrix_mae,matrix_max_ae,matrix_mse,matrix_mape,matrix_smape,matrix_lnQ_error,matrix_mlare,matrix_gmare
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001606,33.833068,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,184.688938,0.349531,65536,14.61,4.97,4.0525,19.6568,2.9637,39.1160,1e-12,1.46265e-13,2.27374e-13,2.37161e-26,1.89381e-11,9.46903e-12,8.15451e-14,-12.7264,1.87765e-13,4.08731e-17,1.10995e-16,1.966e-33,2.53961e-11,1.26981e-11,7.21473e-14,-12.7796,1.66125e-13
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001678,33.922829,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,193.504618,0.366215,131072,14.02,7.17,5.6927,20.3490,3.2552,48.8763,1e-12,1.46266e-13,2.27374e-13,2.37164e-26,1.89382e-11,9.46909e-12,8.15457e-14,-12.7264,1.87766e-13,4.08731e-17,1.10995e-16,1.966e-33,2.53961e-11,1.26981e-11,7.21473e-14,-12.7796,1.66125e-13
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.002331,33.532234,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,217.465446,0.411561,262144,14.46,5.13,7.9062,23.7188,3.9531,62.7940,1e-12,1.46266e-13,2.27374e-13,2.37165e-26,1.89382e-11,9.46911e-12,8.15457e-14,-12.7264,1.87766e-13,4.08731e-17,1.10995e-16,1.966e-33,2.53961e-11,1.26981e-11,7.21473e-14,-12.7796,1.66125e-13
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.002070,33.080243,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,213.889050,0.404793,524288,17.16,4.92,7.9062,23.7188,3.9531,77.0652,1e-12,1.46266e-13,2.27374e-13,2.37164e-26,1.89382e-11,9.46909e-12,8.15456e-14,-12.7264,1.87766e-13,4.08731e-17,1.10995e-16,1.966e-33,2.53961e-11,1.26981e-11,7.21473e-14,-12.7796,1.66125e-13
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.002237,32.245556,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,209.059212,0.395652,1048576,15.17,4.91,8.0000,24.0000,4.0000,91.0094,1e-12,1.46265e-13,2.27374e-13,2.37163e-26,1.89382e-11,9.46908e-12,8.15456e-14,-12.7264,1.87766e-13,4.08731e-17,1.10995e-16,1.966e-33,2.53961e-11,1.26981e-11,7.21473e-14,-12.7796,1.66125e-13
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.002020,32.344681,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,209.059212,0.395652,2097152,15.42,4.91,8.0000,24.0000,4.0000,102.7480,1e-12,1.46265e-13,2.27374e-13,2.37163e-26,1.89382e-11,9.46908e-12,8.15456e-14,-12.7264,1.87766e-13,4.08731e-17,1.10995e-16,1.966e-33,2.53961e-11,1.26981e-11,7.21473e-14,-12.7796,1.66125e-13
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001373,32.273372,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,209.059212,0.395652,4194304,15.46,4.91,8.0000,24.0000,4.0000,127.9823,1e-12,1.46265e-13,2.27374e-13,2.37163e-26,1.89382e-11,9.46908e-12,8.15456e-14,-12.7264,1.87766e-13,4.08731e-17,1.10995e-16,1.966e-33,2.53961e-11,1.26981e-11,7.21473e-14,-12.7796,1.66125e-13
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001476,32.085667,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,209.059212,0.395652,8388608,15.50,4.91,8.0000,24.0000,4.0000,174.3713,1e-12,1.46265e-13,2.27374e-13,2.37163e-26,1.89382e-11,9.46908e-12,8.15456e-14,-12.7264,1.87766e-13,4.08731e-17,1.10995e-16,1.966e-33,2.53961e-11,1.26981e-11,7.21473e-14,-12.7796,1.66125e-13
/users/panastas/Data/graphs/tamu/matrices/spal_004/spal_004.mtx,64,10203,321696,46168124,1.001428,32.087190,528.391174,0.000000,0.000000,CSR_CV_STREAM,10203,321696,46168124,209.059212,0.395652,16777216,15.55,4.91,8.0000,24.0000,4.0000,286.6501,1e-12,1.46265e-13,2.27374e-13,2.37163e-26,1.89382e-11,9.46908e-12,8.15456e-14,-12.7264,1.87766e-13,4.08731e-17,1.10995e-16,1.966e-33,2.53961e-11,1.26981e-11,7.21473e-14,-12.7796,1.66125e-13
/users/panastas/Data/graphs/tamu/matrices/ldoor/ldoor.mtx,64,952203,952203,46522475,1.002115,35.839544,536.039845,0.000000,0.000000,CSR_CV_STREAM,952203,952203,46522475,413.936452,0.772212,64,5.47,2.70,2.2021,20.3925,2.8243,56.6722,1e-12,3.85731e-07,7.14213e-05,1.86777e-12,3.69734e-08,1.84867e-08,2.36165e-11,-10.2646,5.4379e-11,2.9365e-08,3.04505e-05,3.81497e-14,2.99872e-11,1.49936e-11,4.605e-17,-15.9746,1.06035e-16
